date,game,earnings,players,tournaments,year,month,release_year,genre,total_earnings,offline_earnings,percent_offline,total_players,total_tournaments
2000-09-01,Age of Empires II,12378.11,11,3,2000,9,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2000-09-01,StarCraft: Brood War,6292.12,1,2,2000,9,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2000-10-01,Quake III Arena,75000.0,5,3,2000,10,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2000-10-01,Age of Empires II,50000.0,4,1,2000,10,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2000-10-01,FIFA 2000,50000.0,4,1,2000,10,1999,Sports,50000.0,50000.0,1.0,4,1
2000-10-01,StarCraft: Brood War,50000.0,4,1,2000,10,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2000-10-01,Doom II: Hell on Earth,0.0,3,1,2000,10,1994,First-Person Shooter,5108.56,2200.0,0.430649732997166,14,8
2000-11-01,StarCraft: Brood War,17600.0,16,1,2000,11,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2000-12-01,Quake III Arena,126560.21,79,4,2000,12,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2000-12-01,Counter-Strike,23763.33,62,2,2000,12,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2000-12-01,Age of Empires II,165.53,5,2,2000,12,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2001-01-01,Quake III Arena,19055.71,12,3,2001,1,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2001-01-01,StarCraft: Brood War,5257.0,7,2,2001,1,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2001-01-01,Counter-Strike,4720.77,35,1,2001,1,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2001-01-01,Age of Empires II,1200.0,6,2,2001,1,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2001-02-01,Quake III Arena,3750.0,8,1,2001,2,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2001-03-01,Age of Empires II,1641.29,12,5,2001,3,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2001-04-01,Counter-Strike,43711.29,41,2,2001,4,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2001-04-01,Quake III Arena,2272.23,8,3,2001,4,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2001-04-01,Age of Empires II,200.0,2,1,2001,4,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
